model,regime,seed,cp_method,median_sharpe,active_share,median_cap_ratio
lgbm,G,42,pid_tan_cqr,-0.232317834273179,0.04015748031496063,0.7542626398702361
lgbm,G,42,saocp_cqr,,0.0,
lgbm,G,42,sfogd_cqr,0.11680699624112119,0.029133858267716535,0.6857456137521186
lgbm,G,42,spci_cqr,0.09226673401360563,0.013385826771653541,0.621805301864456
lgbm,GI,42,aci_cqr,-0.307389311747136,0.014960629921259844,0.6843733191020552
lgbm,GI,42,agaci_cqr,0.1264385210552732,0.013385826771653541,0.6744743181206523
lgbm,GI,42,cqr_rolling,0.12842816126919657,0.013385826771653541,0.6795662849627644
lgbm,GI,42,cqr_static,0.05526983341873805,0.01889763779527559,
lgbm,GI,42,decay_ocp_cqr,0.44331458866709866,0.0031496062992125984,0.625250891580051
lgbm,GI,42,dtaci_cqr,-0.02195677174188082,0.010236220472440945,0.6934988498795365
lgbm,GI,42,mondrian_cqr,0.3536456369214621,0.004724409448818898,0.8062472375563021
lgbm,GI,42,native,,0.0,0.6388213413530941
lgbm,GI,42,pid_cqr,1.1102230246251565e-16,0.012598425196850394,0.6359598297532887
lgbm,GI,42,pid_local_cqr,0.09017463626690449,0.02125984251968504,0.6517330509596663
lgbm,GI,42,pid_tan_cqr,-0.2643524189824633,0.03622047244094488,
lgbm,GI,42,saocp_cqr,,0.0,
lgbm,GI,42,sfogd_cqr,-0.23311269190434333,0.025196850393700787,0.6931737882449737
lgbm,GI,42,spci_cqr,0.0854920678130625,0.01653543307086614,0.6443947687417784
lgbm,L,42,aci_cqr,,0.0,0.6877645199582963
lgbm,L,42,agaci_cqr,,0.0,0.6773665090604304
lgbm,L,42,cqr_rolling,,0.0,0.676288973651359
lgbm,L,42,cqr_static,,0.0,
lgbm,L,42,decay_ocp_cqr,,0.0,
lgbm,L,42,dtaci_cqr,,0.0,0.6884864929512529
lgbm,L,42,mondrian_cqr,-0.30738931174713596,0.0007874015748031496,
lgbm,L,42,native,,0.0,0.6358535214066018
lgbm,L,42,pid_cqr,0.08358254625554706,0.0031496062992125984,0.6664016529021459
lgbm,L,42,pid_local_cqr,-0.2434822478627761,0.008661417322834646,0.656782583138261
lgbm,L,42,pid_tan_cqr,-0.19531394655216805,0.025984251968503937,
lgbm,L,42,saocp_cqr,,0.0,
lgbm,L,42,sfogd_cqr,0.30549106654238584,0.007874015748031496,0.700929529688374
lgbm,L,42,spci_cqr,-0.2982770485997178,0.009448818897637795,0.6532099573601173
lgbm_const,G,42,aci_cqr,-0.15957863905959196,0.02283464566929134,0.6569887483025421
lgbm_const,G,42,agaci_cqr,0.04704314386242084,0.014173228346456693,0.6468917101789284
lgbm_const,G,42,cqr_rolling,-0.31590810039216327,0.01811023622047244,0.6588419845556772
lgbm_const,G,42,cqr_static,0.30738931174713585,0.0007874015748031496,
lgbm_const,G,42,decay_ocp_cqr,0.1724063777049958,0.0031496062992125984,
lgbm_const,G,42,dtaci_cqr,-0.18337351220755646,0.015748031496062992,0.6601865642441557
lgbm_const,G,42,mondrian_cqr,-0.07003451211650677,0.010236220472440945,0.7995774528146673
lgbm_const,G,42,native,,0.0,
lgbm_const,G,42,pid_cqr,0.12988610364618708,0.013385826771653541,0.6357822100666204
